Country Name,Country Code,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Andorra,ADO,WGI_DUMMY,,,,,,1.169522166,,1.182875156,,1.166981459,,1.282766938,1.465131164,1.402106047,1.384927273,1.349654078,1.342015743,1.338472128,1.297139525,1.278272152,1.302488327,1.290351152,1.28392601,1.286593318,1.365985394,1.382750273,1.392889738,1.391248584,1.57736671,1.58867538,1.58125937,1.585988402,1.583465934,
Andorra,ADO,WGI_DUMMY,,,,,,1.158362508,,1.177253962,,1.286165476,,1.223840594,1.055983305,1.194324493,0.966194272,0.85568583,1.168245077,1.186387658,1.21778512,1.197924614,1.399273753,1.401187778,1.401615381,1.638605237,1.513191819,1.512936115,1.535568833,1.536507964,1.510214925,1.615181565,1.64205122,1.48548305,1.476898909,
Andorra,ADO,WGI_DUMMY,,,,,,1.266439795,,1.245862126,,1.223143578,,1.422462821,1.414684296,1.41426146,1.359160781,1.34977591,1.378267288,1.398588419,1.405673504,1.389426827,1.611425281,1.561860085,1.558740973,0.880748272,0.898378432,0.860476732,1.200184584,1.187329054,1.221926212,1.335421324,1.359349608,1.398334026,1.350545764,
Andorra,ADO,WGI_DUMMY,,,,,,1.563216686,,1.528759122,,1.535655499,,1.437128186,1.422261953,1.563076615,1.528181553,1.3299793,1.305506468,1.325321794,1.32293725,1.324308395,1.360453367,1.433837652,1.406625032,1.165955663,1.19445467,1.176445723,1.161518812,1.047039151,1.108101845,1.085335255,1.032499909,1.106789112,0.996939778,
Angola,AGO,WGI_DUMMY,,,,,,-1.16770184,,-1.180450678,,-1.197514296,,-1.155492663,-1.335463285,-1.377568841,-1.323181987,-1.241037726,-1.307493567,-1.308764577,-1.397766113,-1.332474947,-1.367469072,-1.302401423,-1.336971641,-1.458225965,-1.427726507,-1.483990431,-1.445171714,-1.199483871,-1.05461812,-0.935061216,-0.649475813,-0.612375736,-0.609920204,
Angola,AGO,WGI_DUMMY,,,,,,-0.859939992,,-1.055107117,,-1.075034142,,-1.132157087,-1.124224305,-1.328872442,-1.11021924,-1.381049156,-1.205007195,-1.061388373,-0.945070207,-1.138267756,-1.193231225,-0.988945425,-1.242886543,-1.056573868,-0.929087341,-0.971493542,-0.951988995,-1.005251646,-1.128489852,-1.257484555,-1.12635994,-1.026034236,-1.008909583,
Angola,AGO,WGI_DUMMY,,,,,,-2.061917305,,-2.318058491,,-2.038173914,,-1.576179862,-1.00738585,-1.063120604,-0.885178328,-0.539453447,-0.666658759,-0.361787379,-0.347591847,-0.226182342,-0.36923781,-0.389322549,-0.391233474,-0.333232045,-0.505385816,-0.321580082,-0.387895495,-0.347208589,-0.368411601,-0.599917889,-0.71048075,-0.630108535,-0.341505051,
Angola,AGO,WGI_DUMMY,,,,,,-1.630469322,,-1.527338624,,-1.601501703,,-1.633343816,-1.482855916,-1.520916343,-1.464794993,-1.31127274,-1.375133514,-1.378563881,-1.236289263,-1.272953272,-1.277053237,-1.304776907,-1.290947795,-1.074954033,-1.030658722,-1.003950238,-1.03998208,-1.001062036,-1.023548245,-0.951058805,-0.983753622,-1.022035718,-1.099066019,
Angola,AGO,WGI_DUMMY,,,,,,-1.415345073,,-1.445261717,,-1.507048011,,-1.294135094,-1.187467456,-1.226713538,-1.240036249,-1.156215668,-1.075312614,-1.101495981,-1.059525251,-1.0602175,-1.107531548,-0.990437567,-1.041670442,-0.860683441,-0.863671422,-0.969250917,-1.045466542,-0.800683141,-0.833844543,-0.856853485,-0.670014679,-0.606698573,-0.761388183,
Angola,AGO,WGI_DUMMY,,,,,,-1.578163505,,-1.411878705,,-1.458064675,,-1.238779068,-1.272615314,-1.285479784,-1.234719396,-1.252087951,-1.18531394,-1.119346857,-1.126135349,-1.120525122,-1.125478387,-1.076246738,-1.113919139,-1.145323634,-1.177164912,-1.140327454,-1.095243454,-0.903594315,-0.793109953,-0.816005945,-0.859023571,-0.807577968,-0.737252414,
Anguilla,AIA,WGI_DUMMY,,,,,,,,,,,,,,0.838260055,1.269663095,1.25131321,1.26187098,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253580928,1.220693946,1.151729107,1.15941143,1.171781301,1.178940058,1.176189423,0.632067442,0.637894392,1.270272374,1.251356125,
Anguilla,AIA,WGI_DUMMY,,,,,,,,,,,,,,1.059013367,1.553322434,1.538402796,1.501772642,1.528406501,1.536201119,1.512716174,1.498924255,1.523346066,1.532495499,0.948003531,0.961984634,1.276267767,0.783770323,0.774784267,0.762365401,0.911797345,0.916287005,1.219383597,1.201681733,
Anguilla,AIA,WGI_DUMMY,,,,,,,,,,,,,,0.788184822,1.189666033,1.104799986,1.085738063,1.112509608,0.868718088,1.373761654,1.550927639,1.476920247,1.533979535,1.164254904,1.220001817,1.284042716,1.358390927,1.255063415,1.317046165,1.503842711,1.528787374,1.123173952,1.114221215,
