Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brunei Darussalam,BRN,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.158145082,0.178261346,0.181054455,0.182024751,0.190059942,0.199719493,0.199908604,0.189194769,0.189842725,0.185495419,0.176404996,0.160891518,0.180329543,0.175009967,0.167760763,0.231058375,0.228080565,0.258316756,0.237105526,0.212321428,0.21802048,0.209484699,0.218713322,0.233487048,0.212965939,0.234213351,0.230328636,0.234849436,0.214084584,0.275730871,0.275732125,0.271734561,0.276314768,0.276314768
Bhutan,BTN,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.094101916,0.089103307,0.093501403,0.115411165,0.134201576,0.141887823,0.142330189,0.140677522,0.13188101,0.129025819,0.128334654,0.125902383,0.119063909,0.113436875,0.114350423,0.113672444,0.100458311,0.096862141,0.125911462,0.127861921,0.144735675,0.13113454,0.135217083,0.130342909,0.142064074,0.14246703,0.151855378,0.170514941,0.176434803,0.173783333,0.179207097,0.175462795,0.172504257,0.172504257
Botswana,BWA,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.189124136,0.223612643,0.216398875,0.20020977,0.194576293,0.165727833,0.163331607,0.193538258,0.185962855,0.185336126,0.178383029,0.177512743,0.168042752,0.160370991,0.166146718,0.144864601,0.1459876,0.14415502,0.153522289,0.114095804,0.126749272,0.111360568,0.157303859,0.192685306,0.201119296,0.178683524,0.189225144,0.2002258,0.173763144,0.157982932,0.152937366,0.160067864,0.158116426,0.158116426
Central African Republic,CAF,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.049473839,0.042715537,0.046349218,0.046320224,0.044395718,0.050326763,0.047815873,0.046536622,0.046246698,0.054127927,0.054420303,0.05370089,0.053615706,0.049425784,0.048350032,0.049341594,0.046697313,0.034424877,0.030868225,0.030209125,0.031678586,0.030786872,0.032562588,0.034997476,0.047903347,0.049227475,0.049004097,0.049017567,0.05148214,0.053053348,0.053455612,0.060875243,0.063125149,0.063125149
Canada,CAN,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.395968038,0.403998781,0.392963615,0.390567389,0.390255406,0.394998831,0.390982612,0.382431954,0.370523849,0.365645363,0.353142046,0.355513644,0.36159293,0.342214819,0.34422685,0.33101958,0.3359524,0.321745285,0.312511161,0.314219316,0.31241263,0.302426284,0.299707221,0.293988341,0.290402564,0.286790838,0.286646859,0.288691886,0.280327145,0.265753152,0.25768737,0.253357893,0.249408858,0.249408858
Central Europe and the Baltics,CEB,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.574326518,0.559403843,0.544939906,0.512429521,0.487823709,0.481756189,0.458817327,0.419680812,0.389958412,0.372751265,0.367412808,0.346929283,0.348328032,0.327416418,0.31184698,0.30101107,0.284932701,0.266329568,0.252647201,0.259618824,0.250981173,0.239773121,0.230204456,0.217109767,0.212004946,0.209272098,0.206415892,0.195441047,0.178192772,0.172509238,0.174341511,0.164426756,0.148491773,0.148491773
Switzerland,CHE,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.110639648,0.110590579,0.105289189,0.101802548,0.10313219,0.103913166,0.098718645,0.098998987,0.09794704,0.092549692,0.094009361,0.090769674,0.09342506,0.092041247,0.090798233,0.086441522,0.079649361,0.079851694,0.079306813,0.079707279,0.071467915,0.072823203,0.073194391,0.065571986,0.063443923,0.06301814,0.060672911,0.057051027,0.056227986,0.053727155,0.053297743,0.047365775,0.046782383,0.046782383
Chile,CHL,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.200449871,0.185893742,0.185013604,0.192380622,0.192937124,0.206427871,0.218168471,0.211354603,0.221723307,0.198198478,0.184309273,0.180438667,0.178662698,0.181021907,0.172916434,0.166407363,0.17760901,0.180147348,0.174268124,0.174522528,0.179637511,0.174085633,0.176924745,0.16015978,0.16804898,0.173931824,0.17331218,0.166787881,0.175760644,0.172048431,0.157380136,0.153665064,0.144530301,0.144530301
China,CHN,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,1.232325522,1.128709527,1.072506785,0.999953393,0.994839572,0.897738601,0.845314635,0.802583047,0.729247932,0.714253858,0.691426686,0.683253319,0.716189539,0.749376303,0.762946613,0.75139942,0.715403524,0.672001993,0.658943285,0.651771942,0.650872004,0.622406811,0.605201399,0.569689402,0.525695942,0.493622857,0.471717775,0.463292251,0.447285301,0.443394907,0.428748955,0.412597464,0.414300476,0.414300476
Cote d'Ivoire,CIV,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.047820466,0.047737493,0.050749167,0.052613543,0.053732795,0.062394136,0.069273252,0.064386612,0.084986358,0.081359227,0.083386602,0.090640213,0.074878582,0.074831308,0.079033914,0.075464532,0.074121687,0.078494457,0.070209999,0.07497138,0.076665745,0.090778492,0.089054981,0.086891239,0.087304885,0.082463375,0.083010144,0.079259678,0.079366708,0.078159732,0.080999775,0.077438502,0.071017484,0.071017484
