Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cameroon,CMR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,83,,,,75.11000061,,,83,,,81,80.66000366,,,,,,,81.89338684,,86.23999786,,,,
"Congo, Dem. Rep.",COD,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,70,,,,,,65.7765274,,,,,84,85.98000336,,,85,,84.07338715,,,,88.09999847,,
"Congo, Rep.",COG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,79,,,,,,80.91394806,,,,,,,,,,82.36000061,,,
Colombia,COL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,95,,,97,,,,,,97.44000244,97.5,97.94000244,97.97000122,98,98,97.98999786,97.94000244,98.18000031,98.30999756,98.22000122,98.26999664,98.52999878,98.51999664,98.65000153,98.65000153,98.87999725,98.81999969,99,99.11000061,98.91000366,,
Comoros,COM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,80,,,,,,,,,,,,71.58126831,,,,,,,,,,82.01999664,,
Cabo Verde,CPV,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,95.87000275,,,,,,,,,,,,98,,,98,,,,,,,98.73999786,,
Costa Rica,CRI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,98,,,,,,,,,,,99,,,,,,,80.55000305,,,99.52999878,,,
Caribbean small states,CSS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,92.46028137,92.4987793,92.73206329,92.97422791,93.22045898,93.46890259,93.71956635,93.95359039,94.1869812,94.39573669,94.5803833,94.73915863,94.91426849,94.97331238,95.427948,95.53704071,95.62657928,,,,,,,,,,,,,,,
Cuba,CUB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,99.61174011,,99.87464905,,,
Curacao,CUW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,99,,,,,,,,,,99,,,,,,,
Cyprus,CYP,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,100,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,99.90000153,,,
Czechia,CZE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
